# HUDCOLOR.DAT
# this file contains RGBA colour values that the game uses

# Please ensure you change the correct values for HD and CRT TVs

# if this file changes then you need to change code, script and Actionscript (See Gareth Evans/Jeff Kahn) 
# it needs to stay in sync - do not add stuff into the middle of this, only ever at the end

# -----------------------------------------------------------------     
# -HUD COLOUR NAME-                     -LINK-   -R- -G- -B- -A-
# -----------------------------------------------------------------
HUD_COLOUR_PURE_WHITE                   RGBA    255 255 255 255
HUD_COLOUR_WHITE                        RGBA    240 240 240 255
HUD_COLOUR_BLACK                        RGBA    0   0   0   255
HUD_COLOUR_GREY                         RGBA    155 155 155 255
HUD_COLOUR_GREYLIGHT                    RGBA    205 205 205 255
HUD_COLOUR_GREYDARK                     RGBA    77  77  77  255
HUD_COLOUR_RED                          RGBA    224 50  50  255
HUD_COLOUR_REDLIGHT                     RGBA    240 153 153 255
HUD_COLOUR_REDDARK                      RGBA    112 25  25  255
HUD_COLOUR_BLUE                         RGBA    93  182 229 255   
HUD_COLOUR_BLUELIGHT                    RGBA    174 219 242 255
HUD_COLOUR_BLUEDARK                     RGBA    47  92  115 255
HUD_COLOUR_YELLOW                       RGBA    240 200 80  255
HUD_COLOUR_YELLOWLIGHT                  RGBA    254 235 169 255
HUD_COLOUR_YELLOWDARK                   RGBA    126 107 41  255
HUD_COLOUR_ORANGE                       RGBA    255 133 85  255
HUD_COLOUR_ORANGELIGHT                  RGBA    255 194 170 255
HUD_COLOUR_ORANGEDARK                   RGBA    127 66  42  255
HUD_COLOUR_GREEN                        RGBA    114 204 114 255
HUD_COLOUR_GREENLIGHT                   RGBA    185 230 185 255
HUD_COLOUR_GREENDARK                    RGBA    57  102 57  255
HUD_COLOUR_PURPLE                       RGBA    132 102 226 255
HUD_COLOUR_PURPLELIGHT                  RGBA    192 179 239 255
HUD_COLOUR_PURPLEDARK                   RGBA    67  57  111 255
HUD_COLOUR_PINK                         RGBA    203 54  148 255 
HUD_COLOUR_RADAR_HEALTH                 RGBA    53  154 71  255
HUD_COLOUR_RADAR_ARMOUR                 HUD_COLOUR_BLUE          
HUD_COLOUR_RADAR_DAMAGE                 RGBA    235 36 39 255

# DON'T ADD IN THE MIDDLE   

HUD_COLOUR_NET_PLAYER1                  RGBA    194 80  80  255
HUD_COLOUR_NET_PLAYER2                  RGBA    156 110 175 255
HUD_COLOUR_NET_PLAYER3                  RGBA    255 123 196 255 
HUD_COLOUR_NET_PLAYER4                  RGBA    247 159 123 255
HUD_COLOUR_NET_PLAYER5                  RGBA    178 144 132 255
HUD_COLOUR_NET_PLAYER6                  RGBA    141 206 167 255
HUD_COLOUR_NET_PLAYER7                  RGBA    113 169 175 255
HUD_COLOUR_NET_PLAYER8                  RGBA    211 209 231 255
HUD_COLOUR_NET_PLAYER9                  RGBA    144 127 153 255
HUD_COLOUR_NET_PLAYER10                 RGBA    106 196 191 255
HUD_COLOUR_NET_PLAYER11                 RGBA    214 196 153 255
HUD_COLOUR_NET_PLAYER12                 RGBA    234 142 80  255
HUD_COLOUR_NET_PLAYER13                 RGBA    152 203 234 255
HUD_COLOUR_NET_PLAYER14                 RGBA    178 98  135 255
HUD_COLOUR_NET_PLAYER15                 RGBA    144 142 122 255
HUD_COLOUR_NET_PLAYER16                 RGBA    166 117 94  255
HUD_COLOUR_NET_PLAYER17                 RGBA    175 168 168 255
HUD_COLOUR_NET_PLAYER18                 RGBA    232 142 155 255
HUD_COLOUR_NET_PLAYER19                 RGBA    187 214 91  255
HUD_COLOUR_NET_PLAYER20                 RGBA    12  123 86  255
HUD_COLOUR_NET_PLAYER21                 RGBA    123 196 255 255
HUD_COLOUR_NET_PLAYER22                 RGBA    171 60  230 255
HUD_COLOUR_NET_PLAYER23                 RGBA    206 169 13  255
HUD_COLOUR_NET_PLAYER24                 RGBA    71  99  173 255
HUD_COLOUR_NET_PLAYER25                 RGBA    42  166 185 255
HUD_COLOUR_NET_PLAYER26                 RGBA    186 157 125 255
HUD_COLOUR_NET_PLAYER27                 RGBA    201 225 255 255
HUD_COLOUR_NET_PLAYER28                 RGBA    240 240 150 255
HUD_COLOUR_NET_PLAYER29                 RGBA    237 140 161 255
HUD_COLOUR_NET_PLAYER30                 RGBA    249 138 138 255
HUD_COLOUR_NET_PLAYER31                 RGBA    252 239 166 255
HUD_COLOUR_NET_PLAYER32                 RGBA    240 240 240 255

# DON'T ADD IN THE MIDDLE

HUD_COLOUR_SIMPLEBLIP_DEFAULT           RGBA    159 201 166 255
HUD_COLOUR_MENU_BLUE                    RGBA    140 140 140 255
HUD_COLOUR_MENU_GREY_LIGHT              HUD_COLOUR_MENU_BLUE
HUD_COLOUR_MENU_BLUE_EXTRA_DARK         RGBA    40  40  40  255
HUD_COLOUR_MENU_YELLOW                  RGBA    240 160 0   255
HUD_COLOUR_MENU_YELLOW_DARK             HUD_COLOUR_MENU_YELLOW
